cell,intensity,gauss_score,sweep_count,baseline,wilcoxon_p,AUC
H21012802,0.0296,1,12,0.5175294622129559,0.5,0.5
H21012802,0.127,3,15,0.0633709545566884,0.0023388674905236,0.7857142857142857
H21012802,0.27,3,15,0.5914622425290925,0.000265157036084,0.94
H21012802,0.348,3,6,2.217983409484097,0.0165031288306162,0.888888888888889
H21021901,0.03,0,8,65.01505611825897,0.9137351783206582,0.34375
H21021901,0.274,3,15,57.243665784591045,0.0003369292656768,0.997777777777778
H21021901,0.352,3,30,61.86695866411169,7.925528622188202e-07,0.9766666666666668
H21021901,3.2,3,8,63.874441098640375,0.00390625,1.0
H21021902,0.03,3,15,24.637284423761287,0.2470172030025167,0.5777777777777778
H21021902,0.166,3,15,27.6789244760775,0.0011094155272182,0.8044444444444445
H21021902,0.274,3,30,21.291480366213463,6.684558565955815e-07,0.9883333333333332
H21021902,0.352,3,10,24.728533625330773,0.0009765625,1.0
H21021902,1.51,3,16,23.04042339629528,1.52587890625e-05,1.0
H21021903,0.03,3,25,1.8979833926453145,0.0032794811408192,0.7016
H21021903,0.129,3,15,1.7033184292970769,0.0003143845683216,0.9555555555555556
H21021903,0.166,3,15,1.155823219880159,3.0517578125e-05,1.0
H21031601,0.166,3,30,80.81637619004168,0.0006178851252389,0.695
H21031601,0.28,3,12,37.10800863825774,0.004638671875,0.8298611111111112
H21031601,0.597,3,15,65.27359552270585,0.0007566421373889,0.8955555555555555
H21031601,1.25,3,15,66.73358274781762,3.0517578125e-05,0.9977777777777778
H21031601,1.51,3,45,86.64618629031442,2.442520874971425e-09,0.9925925925925926
H21031601,2.51,3,3,47.90844164485649,0.0827589293487349,0.888888888888889
H21031601,3.2,3,4,80.98366639291905,0.0625,1.0
H21031606,0.014,0,11,15.316319875449704,0.4623804435750748,0.5165289256198347
H21031606,0.03,1,15,2.2217079379773192,0.1109115991534029,0.6155555555555555
H21031606,0.129,3,30,6.54169559515544,7.623633928236816e-05,0.7933333333333333
H21031606,0.166,3,30,3.5547327007637115,5.160872074756987e-05,0.7944
H21031606,0.274,3,30,6.288454939389828,3.920032892437644e-06,0.8757431629013079
H21031606,0.28,3,13,1.9938404571591328,0.005405141725979,0.8875739644970415
H21031606,0.586,3,13,0.5696687020454667,0.0001220703125,0.9881656804733728
H21031606,0.597,3,15,0.4984601142897833,0.0056223520309267,0.8136094674556213
H21031606,1.25,3,5,0.0,0.03125,1.0
H21032503,0.0116,0,30,42.15073671218081,0.7402410595379901,0.4477777777777778
H21032503,0.105,3,15,50.48214147959577,0.2191004093230315,0.5688888888888889
H21032503,0.136,3,30,43.045591298310576,0.0037999489390137,0.6966666666666667
H21032503,0.229,3,30,54.092416878808905,0.0014492667511309,0.7222222222222222
H21032503,0.476,3,21,47.69619025578294,6.139484569385555e-05,0.8809523809523809
H21032503,1.23,3,15,49.92671449510144,3.0517578125e-05,0.9955555555555556
H21033101,0.0116,3,30,30.22902113596322,0.0166823293091075,0.5772222222222222
H21033101,0.025,0,15,37.2136079611201,0.6239119867520083,0.4600000000000001
H21033101,0.105,3,45,31.766465415589405,0.0485060011963587,0.5622222222222222
H21033101,0.136,3,41,20.23446010055612,0.0450154787543085,0.5797144556811421
H21033101,0.226,3,30,29.00563141248167,0.0316383498357029,0.6383333333333333
H21033101,0.229,3,50,27.9883673211796,3.6750655074768165e-05,0.6382
H21033101,0.292,3,30,31.011339967600097,0.0319835743400612,0.6072222222222222
H21033101,0.476,3,20,60.04197463272196,0.0029476324845918,0.6575
H21033101,1.02,3,15,22.217079379773203,0.02737043364087,0.691111111111111
H21033101,1.23,3,7,31.738684828247425,0.0104167958847622,0.979591836734694
H21033104,0.0116,1,45,1.5017099951142991,0.1581396116952898,0.5479012345679012
H21033104,0.025,0,14,1.7672676779365042,0.3834932848297797,0.5371900826446282
H21033104,0.105,3,15,0.7273448606473367,0.0859286695313996,0.6377551020408163
H21033104,0.136,3,10,0.833140476741495,0.0745059254771175,0.725
H21033104,0.226,3,9,0.3085705469412944,0.004158228105414,0.9444444444444444
H21033104,2.92,3,15,0.1157139551029854,0.008838362722921,0.890625
H21040803,0.0114,0,15,38.139319601944,0.1058169058965785,0.5711111111111111
H21040803,0.103,3,30,30.887911748823573,0.5428911383125452,0.5005555555555556
H21040803,0.133,3,30,31.597624006788543,0.5508366063653809,0.4983333333333333
H21040803,0.226,3,30,24.96335724755072,0.0690454904428898,0.6033333333333334
H21040803,0.467,3,22,18.345921609055143,0.0015163981757848,0.7840909090909092
H21040805,0.0114,3,17,14.703302702089804,0.3674536235640397,0.4775086505190311
H21040805,0.103,0,15,19.439944457301547,0.4766869161469171,0.5155555555555555
H21040805,0.113,3,30,16.97138008177119,0.3274215068921209,0.5594444444444444
H21040805,0.467,3,9,12.959962971534363,0.0583659800289273,0.7345679012345678
H21042101,0.0007,1,30,0.1999300244914279,0.0608031884139585,0.5706447187928669
H21042101,0.0065,1,30,0.5997900734742839,0.1029516053660342,0.5833333333333334
H21042101,0.0084,1,50,5.300318801462967,0.0988350388653223,0.5460775047258979
H21042101,0.0143,1,53,8.058881519127882,0.293552043184382,0.5350837483023994
H21042101,0.0296,3,39,0.3647372068424699,0.0436885611206644,0.5788897005113222
H21042101,0.0598,3,30,0.2249212775528564,0.0002308175547689,0.7708333333333334
H21042101,0.0762,3,46,12.654266658843314,6.5395251643571e-07,0.777882797731569
H21042101,0.0815,3,15,16.314289998500524,0.0234440611722936,0.6933333333333334
H21042101,0.107,3,15,14.215024741340528,0.0003935718566906,0.8955555555555555
H21042101,0.167,3,15,8.277103013945117,0.0004034938125205,0.9533333333333334
H21042301,0.014,0,17,0.0,0.0,0.5
H21042301,0.0296,3,15,0.0,0.158655253931457,0.75
H21042301,0.0598,3,30,0.0899685110211425,0.0040754857967513,0.85
H21042301,0.076,3,28,0.1058453070836971,0.0001842526091559,0.8823529411764706
H21042301,0.167,3,5,0.0,0.03125,1.0
H21042301,0.697,3,1,0.0,0.5,1.0
H21042303,0.0084,0,8,27.35640820927065,0.3358796415564349,0.5625
H21042303,0.0762,1,11,30.398381030044018,0.2640698683166966,0.5578512396694215
H21042303,0.346,3,7,24.55535353670891,0.0234375,0.8979591836734694
H21042304,0.0065,0,8,15.61546047996994,0.638495644714995,0.46875
H21042304,0.0084,0,7,26.70226969292389,0.5679605334778626,0.4897959183673469
H21042304,0.0762,3,4,26.769360822805616,0.0625,1.0
H21042304,0.346,3,4,20.19443009439722,0.0625,0.96875
H21050601,0.0007,1,15,17.658385384868264,0.1392287134327425,0.6177777777777778
H21050601,0.0065,3,15,13.838663723602432,0.0122420571177746,0.6977777777777778
H21050601,0.008,2,9,2.9221914348481755,0.2588170592916727,0.5864197530864198
H21050601,0.0143,3,15,8.766574304544529,0.1058559159706212,0.6355555555555554
H21050602,0.0065,1,15,17.97147732431629,0.1634762114848783,0.5666666666666667
H21050602,0.0296,3,15,12.836769517368776,0.0583597649809527,0.6133333333333334
H21050602,0.076,3,15,31.68490427213952,0.0130655477230469,0.7155555555555555
H21050603,0.008,3,13,1.0175488032060611,0.158655253931457,0.5520833333333334
H21050603,0.0762,3,7,0.0,0.0078125,1.0
H21050701,0.0065,2,15,5.009471031168302,0.3811448791831616,0.5133333333333333
H21050701,0.0143,3,15,11.396546595907886,0.1197496147452125,0.611111111111111
H21050701,0.0762,2,15,15.591978584511343,3.0517578125e-05,1.0
H21050701,0.167,1,3,27.86518261087368,0.125,1.0
H21051201,0.076,3,14,21.67043495179502,0.3513872765804101,0.5510204081632653
H21051201,0.107,0,11,13.57680501060954,0.2162305765460027,0.5991735537190083
H21051201,0.346,3,13,7.586458532778919,0.0902336512057536,0.6538461538461539
H21051202,0.076,1,15,0.3354556494085915,0.1497484318533095,0.5459183673469388
H21051202,0.107,1,15,0.7947718462911249,0.4654506175201888,0.5384615384615384
H21051202,0.346,3,15,0.117409477293007,0.0065491710938679,0.90625
H21051302,0.008,1,15,0.6261838788960378,0.0786496035251425,0.5833333333333334
H21051302,0.0296,1,15,2.8961004398941745,0.6812087429885127,0.5243055555555556
H21051302,0.076,1,15,1.3418225976343667,0.097436712051467,0.6045918367346939
H21051302,0.107,1,15,1.4089137275160848,0.4755085749049,0.5069444444444445
H21051302,0.167,1,20,1.8198468980416087,0.47604969297595,0.509765625
H21051302,0.346,3,15,1.677278247042958,0.3020482714785769,0.5408163265306123
H21051302,0.697,1,15,2.066406800356924,0.4870588736776856,0.5022222222222222
H21051302,1.24,3,8,3.891285533139664,0.0427029041423096,0.6632653061224489
H21052104,0.03,1,15,22.072274703853644,0.1955075413053026,0.6044444444444445
H21052104,0.076,3,28,18.1864918707024,0.0147431247811311,0.6192602040816326
H21052104,0.082,3,15,63.09791572949468,0.1055667900204972,0.6288888888888888
H21052104,0.11,3,29,25.346301208370168,0.0226138947146546,0.582639714625446
H21052104,0.167,3,15,40.245913930124445,0.0100683757751731,0.7511111111111111
H21052104,0.346,3,4,16.64417453891138,0.0459119175266116,0.90625
H21052502,0.0143,0,30,2.20407533529496,0.4678870729181625,0.4886621315192744
H21052502,0.0296,1,30,1.5771383510332828,0.2071080891212626,0.5198902606310013
H21052502,0.076,1,30,0.7604059906767612,0.263544628432769,0.5357142857142857
H21052502,0.107,3,30,1.5119956800123429,0.0337863250856535,0.605
H21052601,0.0086,1,15,1.5028413093504909,0.5,0.5
H21052601,0.015,1,15,0.6574930728408396,0.6726395769907115,0.4499999999999999
H21052601,0.079,3,15,0.4696379091720283,0.0898562474394998,0.6875
H21052601,0.11,3,15,0.2683645195268733,0.0512352174298746,0.7857142857142858
H21052701,0.0086,0,15,2.316880351915339,0.519435562544459,0.4866666666666667
H21052701,0.03,1,15,4.258050376493057,0.6059606894319257,0.5066666666666666
H21052701,0.06,3,15,8.2656272014277,0.2802084065982385,0.5155555555555557
H21052701,0.079,3,15,1.565459697240094,0.0182558162474636,0.7177777777777777
H21052705,0.0067,0,15,12.711532741589568,0.5,0.5
H21052705,0.0086,0,15,13.650808559933624,0.9101437525605,0.3999999999999999
H21052705,0.03,0,15,11.709638535355904,0.3825690353162151,0.5444444444444445
H21052705,0.06,1,15,12.774151129479172,0.3694413401817636,0.5333333333333333
H21052705,0.079,3,15,12.77415112947917,0.0293908606776794,0.64
H21052705,0.11,3,9,9.81021410270459,0.0654757613941974,0.7222222222222222
H21052706,0.0007,2,15,17.47053022119945,0.3871443449185631,0.5444444444444445
H21052706,0.0067,3,15,17.157438281751435,0.2367104442102761,0.5422222222222223
H21052706,0.008,3,15,20.03788412467321,0.138427734375,0.6288888888888889
H21052706,0.076,3,15,21.29025188246528,0.0077039735724169,0.8266666666666667
H21052708,0.0007,0,15,28.05303777454249,0.5114885817335891,0.4866666666666667
H21052708,0.0067,0,20,16.066560050622023,0.6514119181856046,0.4750692520775623
H21052708,0.008,3,15,22.918329967594985,0.1147840628961205,0.6155555555555555
H21052708,0.0146,3,15,11.396546595907887,0.0427885467263364,0.6755555555555556
H21052708,0.03,3,15,13.400335008375208,0.0017554690193985,0.86
H21052708,0.076,3,15,26.550196465192,0.00030517578125,0.9111111111111112
H21052709,0.0007,0,15,7.952535261979679,0.1676409792466607,0.6155555555555555
H21052709,0.0067,2,15,16.781727954413814,0.017669677734375,0.7444444444444445
H21052709,0.008,2,15,7.514206546752453,0.1124794461956483,0.6377777777777778
H21052709,0.0146,3,15,12.085348862693529,0.0185601499275015,0.731111111111111
H21052709,0.076,0,3,7.514206546752454,0.25,0.8333333333333333
H21060901,0.012,0,15,0.4696379091720282,0.158655253931457,0.5833333333333334
H21060901,0.106,3,15,0.4174559192640251,0.2588170592916727,0.5617283950617283
H21060901,0.23,0,15,0.0,0.0,0.5
H21060901,0.967,3,15,0.9392758183440564,0.1170971524396072,0.6944444444444444
H21060901,1.3,3,15,0.4025467792903099,0.2222818173104073,0.5918367346938775
H21060901,1.74,0,15,0.5123322645513035,0.8719984962924214,0.3801652892561983
H21060901,2.68,0,20,3.536097198471743,0.9007912372013244,0.4498269896193771
H21060901,5.6,1,15,0.4174559192640251,0.2818514308253865,0.5123456790123457
H21060902,0.012,3,15,1.0645125941232638,0.1513887274000763,0.5933333333333333
H21060902,0.0146,0,15,4.758997479609888,0.9150148632154216,0.351111111111111
H21060902,0.079,3,15,3.4440113339282075,0.2564988763581087,0.5044444444444445
H21060902,0.106,3,15,2.442117127694547,0.1304575560509626,0.5844444444444445
H21060902,0.135,0,15,1.00189420623366,0.9149665192730476,0.3977777777777778
H21060902,0.23,3,15,1.628078085129698,0.3038744372482715,0.5666666666666667
H21060902,0.48,1,15,0.8050935585806199,0.1885285765900748,0.5765306122448979
H21060902,0.967,3,12,1.4871867123780895,0.0048754636501386,0.8125
H21060903,0.106,0,15,19.912647348894,0.4292003764818637,0.491111111111111
H21060903,0.135,0,15,21.85381737347172,0.736455371567231,0.4266666666666666
H21060903,0.23,0,15,17.345293445420246,0.6174309646837849,0.4733333333333334
H21060903,0.48,0,15,17.783622160647475,0.5486175874876887,0.4888888888888889
H21060903,0.967,3,15,16.617956786087156,0.13671875,0.6094674556213018
H21060903,1.3,3,15,21.540725434023702,0.004925882840241,0.7466666666666667
H21060904,0.012,0,15,26.111867749964777,0.6473308797526481,0.4555555555555555
H21060904,0.106,3,15,33.62607429671723,0.0799069416919918,0.5933333333333333
H21060904,0.135,3,15,21.352870270354888,0.0265261935735799,0.6799999999999999
H21060904,0.23,3,15,15.09103148139451,0.0926522179058502,0.6422222222222222
H21060904,0.48,3,15,44.58429217739789,0.0458001176469834,0.6311111111111112
H21060904,0.967,3,15,20.47621283990044,0.0004186934687861,0.9222222222222224
H21061001,0.106,0,15,10.95821788068066,0.6305586598182363,0.44
H21061001,0.48,3,15,8.51610075298611,0.0433404224733468,0.6244444444444444
H21061001,0.967,0,30,14.99672308424914,0.3121388613529002,0.5466666666666667
H21061001,1.2,0,30,14.308301632774455,0.433356043286151,0.5105555555555555
H21061001,2.68,3,30,10.238106419950215,0.0048525210863493,0.6583333333333333
H21061001,5.6,3,15,15.153649869284116,0.0713196031652861,0.6466666666666667
H21061002,0.106,0,26,4.35482424868608,0.9842202074808633,0.3956611570247934
H21061002,0.48,1,30,0.99798055699056,0.5,0.5234375
H21061002,0.967,3,30,0.4972636685350887,0.0072982081434129,0.6782006920415224
H21061002,1.74,0,23,1.878551636688113,0.8413447460685429,0.4285714285714286
H21061003,0.012,1,15,1.5369967936539106,0.3273604230092884,0.5454545454545454
H21061003,0.0787,1,39,1.849199267364862,0.378106246449499,0.52001953125
H21061003,0.106,0,30,3.0683010065905854,0.1713059892117398,0.5877777777777777
H21061003,0.23,3,15,3.5066297218178115,0.0657125276685362,0.64
H21061003,0.967,3,5,4.508523928051472,0.03125,0.98
H21061005,0.106,1,15,2.239811566820442,0.2397500610934767,0.5976331360946745
H21061005,0.23,0,15,2.880445842921773,0.6726395769907115,0.4666666666666666
H21061005,0.48,1,15,7.3889697709732465,0.3597187722116957,0.5422222222222222
H21061005,0.967,1,30,7.662513254912041,0.2485175551432438,0.5429362880886426
H21061005,1.3,3,15,16.906964730193017,0.3658002944799506,0.5266666666666666
H21061005,1.74,3,15,0.0,0.158655253931457,0.75
H21061005,2.68,0,15,9.455376571330168,0.5,0.5
H21061005,5.6,3,15,0.8140390425648489,0.3273604230092884,0.5333333333333333
H21061005,11.3,3,8,2.935236932325177,0.0240353214607532,0.8125
H21061006,0.0086,0,30,5.599528917051106,0.3083391339736429,0.5155325443786982
H21061006,0.0146,3,30,4.101504406769047,0.2430851036779875,0.5566666666666666
H21061006,0.0787,3,45,3.612599301323296,0.0021345753597807,0.7167159763313609
H21061006,0.083,3,30,4.662833526779424,0.0086497955127923,0.666454081632653
H21061006,0.106,3,30,8.557846344912512,0.0990076981716944,0.5829903978052127
H21061006,0.23,3,15,0.417455919264025,0.007888378194464,0.8024691358024691
H21061006,0.967,3,4,1.4089137275160848,0.0625,0.90625
